tcount: 	 cost:
146	2054063.3011452858
147	2053968.3999277323
148	2053873.5406939916
149	2053779.4071216327
150	2053686.4804809722
151	2053500.7111672768
152	2053408.1473573071
153	2053316.14878528
154	2053225.4411125774
155	2053137.8398555133
156	2053053.1454274922
157	2052908.2627890317
158	2052836.6386106221
159	2052605.6306877173
160	2052534.4188356244
161	2052463.8217171
162	2052323.1237739942
163	2052253.0574214126
164	2052182.991068831
165	2052112.9322280623
166	2052043.1522503586
167	2051904.1305727067
168	2051835.99990027
169	2051771.3032056722
170	2051706.9546101228
171	2051645.3382044376
172	2051577.3574523127
173	2051552.6429815246
174	2051533.5472622889
175	2043064.8129636024
176	2040369.9064862486
177	2038559.8626094193
178	2036739.3386263694
179	2033138.6102778944
180	2031835.312650253
181	2025877.7529176977
182	2021113.9598234333
183	2019659.414790767
184	2018198.5469753495
185	2014805.5460408526
186	2009785.722276731
187	2007524.6798512237
188	2007506.2153087254
189	2005927.435629606
190	2004312.937930702
191	2001923.8162713384
192	1999738.8057312642
193	1999722.4450759816
194	1999257.649215675
195	1999020.2592981155
196	1998855.0504582128
197	1998616.7224319736
198	1996976.1813445154
199	1996880.8753124583
200	1996810.159754308
201	1996681.4130588346
202	1996635.4415641555
203	1996604.9218023145
204	1996584.4795958584
205	1996547.2676659825
206	1989915.555398771
207	1989582.7960834405
208	1977227.8533607242
209	1960038.3708310314
210	1959700.1971843094
211	1959364.6752144527
212	1958713.019451749
213	1958403.7902909853
214	1958108.4436093536
215	1957813.9988746862
216	1956651.1587614599
217	1956399.4235468851
218	1956159.7119979118
219	1955755.900527758
220	1955608.971798318
221	1955463.5063282023
222	1954413.3609848944
223	1954283.4681657054
224	1953313.5150310928
225	1952169.3917093605
226	1952068.7852251665
227	1950997.1374399369
228	1949776.596859634
229	1949676.3998140867
230	1948523.0482093154
231	1947244.796137711
232	1947145.196014134
233	1945935.3529066236
234	1944543.834896108
235	1944444.720716839
236	1943140.6919524737
237	1941667.4972611303
238	1941569.5424538013
239	1940112.598750244
240	1938480.4452921574
241	1938383.5733511068
242	1936746.7495172152
243	1935195.719613674
244	1935099.2486337316
245	1934907.2674420814
246	1933313.4710840022
247	1933217.6820092301
248	1933021.0697586236
249	1932925.2824562497
250	1931190.9300010214
251	1931095.623968964
252	1931000.4019045327
253	1930810.6910265598
254	1929107.2931966179
255	1928918.5643358976
256	1927203.1322245623
257	1927014.7811122185
258	1926921.0467923416
259	1926827.4364741126
260	1924901.0717315665
261	1924808.0108393207
262	1922847.2611581164
263	1922755.2066264877
264	1920761.0394366207
265	1920669.1723883152
266	1920577.7657502508
267	1918550.8927773703
268	1918459.6991566967
269	1916432.4654191174
270	1916341.4580465355
271	1914278.4326817836
272	1914187.95958298
273	1912099.9591131832
274	1912009.8483587876
275	1909906.6196476782
276	1909817.0424508608
277	1907674.9874427812
278	1907585.6489558313
279	1905432.0877871567
280	1905343.5507108748
281	1903155.4015402107
282	1903067.3987377072
283	1902892.4157767212
284	1900752.1039123929
285	1900577.672960012
286	1900490.6998267898
287	1898223.116145458
288	1898136.7477565869
289	1897964.6652626551
290	1897793.048098502
291	1895609.7708658935
292	1895440.8077924114
293	1895356.5420266544
294	1893084.8809527843
295	1893001.1494608058
296	1892834.120214331
297	1890479.102590866
298	1890397.0399845196
299	1888040.6473801467
300	1887959.0185112823
301	1887797.395187186
302	1885364.238424633
303	1885285.6717943142
304	1882843.3384421777
305	1882764.846271985
306	1882608.396205378
307	1880158.7282222754
308	1880081.9049377148
309	1877599.9371534376
310	1877452.36992932
311	1877379.2407051807
312	1874855.9730517918
313	1874712.2632111919
314	1874640.8136053698
315	1874497.9762819957
316	1874355.3537456475
317	1869707.873139779
318	1869566.0077905022
319	1869424.282787511
320	1869353.6596206438
321	1869212.8040267364
322	1869072.6837119116
323	1869002.7574833701
324	1865086.7377315054
325	1864947.688245424
326	1864808.960171537
327	1864739.676487776
328	1864601.464811329
329	1864463.5479627016
330	1858870.421579399
331	1858802.0375124388
332	1858665.2800784917
333	1858528.9262281528
334	1858394.1049621457
335	1858326.8220230986
336	1858193.7494417077
337	1853819.1922882623
338	1853688.2102296182
339	1853558.435879658
340	1853428.8210736322
341	1853364.2394067736
342	1848990.036619918
343	1848862.9368882494
344	1848737.5725040105
345	1848613.2462674237
346	1848489.5579736372
347	1848427.941567952
348	1844054.9477160189
349	1843939.8187212131
350	1843840.0773444648
351	1843741.7249848621
352	1843646.4682457284
353	1839101.5363562747
354	1839009.730529657
355	1838919.0548601102
356	1838829.134764478
357	1838740.8353992628
358	1835494.4244390565
359	1835407.6425157008
360	1835321.7119430045
361	1835236.7707390941
362	1835152.4638491613
363	1835068.6681311466
364	1831657.7800319954
365	1831574.979299044
366	1831493.0487134429
367	1831411.2140258932
368	1831329.6120032326
369	1831248.3383423307
370	1828046.2818894114
371	1827965.2168129152
372	1827885.7403665548
373	1827767.6150400303
374	1827689.4125096446
375	1827611.8923221687
376	1822614.4994362225
377	1822538.4638717314
378	1822464.7666958997
379	1822357.0678283367
380	1822288.4519283655
381	1819065.896525633
382	1819006.636683405
383	1818948.1789583713
384	1818863.757847038
385	1818808.160783718
386	1818753.0105187148
387	1813715.8040109829
388	1813661.5398308004
389	1813607.7569209344
390	1813527.3269472003
391	1813473.9488518382
392	1808430.4841975707
393	1808351.1427159093
394	1808298.6068765665
395	1808220.7587014812
396	1808169.3406949358
397	1804828.1858895668
398	1804751.6286138056
399	1804700.7957113239
400	1804625.4144966125
401	1804576.3444181343
402	1799415.2516422595
403	1799366.9648607343
404	1799296.0118063702
405	1799226.352615054
406	1799180.5974421217
407	1795675.8418326706
408	1795632.5824531096
409	1795569.117746344
410	1795506.2827967731
411	1795443.8946455189
412	1795402.479466664
413	1788806.5025760906
414	1788745.890240304
415	1788686.373349641
416	1788627.999781344
417	1786443.0412213285
418	1786386.7390100628
419	1786332.2283388397
420	1786280.7468510703
421	1774869.9997147862
422	1764519.2528632893
423	1756573.0488441044
424	1753193.0937740216
425	1749277.2090748101
426	1739124.051952762
427	1731136.0106110317
428	1717386.1983060278
429	1707601.3449216126
430	1700366.6748885794
431	1691985.5172128172
432	1687468.140210092
